,BTC_close
2018-10-07,6601.15
2018-10-08,6650.07
2018-10-09,6631.79
2018-10-10,6581.07
2018-10-11,6209.47
2018-10-12,6250.85
2018-10-13,6267.27
2018-10-14,6277.73
2018-10-15,6612.36
2018-10-16,6583.05
2018-10-17,6574.52
2018-10-18,6488.72
2018-10-19,6469.28
2018-10-20,6490.56
2018-10-21,6509.87
2018-10-22,6483.23
2018-10-23,6470.22
2018-10-24,6476.25
2018-10-25,6462.77
2018-10-26,6457.21
2018-10-27,6470.17
2018-10-28,6470.74
2018-10-29,6313.91
2018-10-30,6309.11
2018-10-31,6342.61
2018-11-01,6381.3
2018-11-02,6394.66
2018-11-03,6376.32
2018-11-04,6467.05
2018-11-05,6433.74
2018-11-06,6479.72
2018-11-07,6529.68
2018-11-08,6446.06
2018-11-09,6377.99
2018-11-10,6396.37
2018-11-11,6408.18
2018-11-12,6375.08
2018-11-13,6339.17
2018-11-14,5741.47
2018-11-15,5647.5
2018-11-16,5586.27
2018-11-17,5568.94
2018-11-18,5615.26
2018-11-19,4809.62
2018-11-20,4441.81
2018-11-21,4593.04
2018-11-22,4320.68
2018-11-23,4343.42
2018-11-24,3854.11
2018-11-25,4004.15
2018-11-26,3784.59
2018-11-27,3822.99
2018-11-28,4263.55
2018-11-29,4286.69
2018-11-30,4009.67
2018-12-01,4197.46
2018-12-02,4143.86
2018-12-03,3871.41
2018-12-04,3948.44
2018-12-05,3737.53
2018-12-06,3485.18
2018-12-07,3420.57
2018-12-08,3461.07
2018-12-09,3592.84
2018-12-10,3467.16
2018-12-11,3401.02
2018-12-12,3485.59
2018-12-13,3305.11
2018-12-14,3235.48
2018-12-15,3232.51
2018-12-16,3255.37
2018-12-17,3548.19
2018-12-18,3715.85
2018-12-19,3736.54
2018-12-20,4137.66
2018-12-21,3898.81
2018-12-22,4045.24
2018-12-23,4007.63
2018-12-24,4081.95
2018-12-25,3834.73
2018-12-26,3848.78
2018-12-27,3646.09
2018-12-28,3947.86
2018-12-29,3797.06
2018-12-30,3896.21
2018-12-31,3747.39
2019-01-01,3880.15
2019-01-02,3961.01
2019-01-03,3835.86
2019-01-04,3874.06
2019-01-05,3855.39
2019-01-06,4102.85
2019-01-07,4050.4
2019-01-08,4040.75
2019-01-09,4048.34
2019-01-10,3668.15
2019-01-11,3669.2
2019-01-12,3664.38
2019-01-13,3551.24
2019-01-14,3703.9
2019-01-15,3621.24
2019-01-16,3643.99
2019-01-17,3685.3
2019-01-18,3648.05
2019-01-19,3729.78
2019-01-20,3567.73
2019-01-21,3571.92
2019-01-22,3602.04
2019-01-23,3572.05
2019-01-24,3598.52
2019-01-25,3582.89
2019-01-26,3596.5
2019-01-27,3565.08
2019-01-28,3453.42
2019-01-29,3418.25
2019-01-30,3467.21
2019-01-31,3434.13
2019-02-01,3461.63
2019-02-02,3508.68
2019-02-03,3449.62
2019-02-04,3431.24
2019-02-05,3447.66
2019-02-06,3394.89
2019-02-07,3375.33
2019-02-08,3660.03
2019-02-09,3652.26
2019-02-10,3685.14
2019-02-11,3611.34
2019-02-12,3617.41
2019-02-13,3605.87
2019-02-14,3588.72
2019-02-15,3593.49
2019-02-16,3617.24
2019-02-17,3670.92
2019-02-18,3912.57
2019-02-19,3924.24
2019-02-20,3974.05
2019-02-21,3937.04
2019-02-22,3983.53
2019-02-23,4149.09
2019-02-24,3771.62
2019-02-25,3845.51
2019-02-26,3817.88
2019-02-27,3830.72
2019-02-28,3823.37
2019-03-01,3831.48
2019-03-02,3842.94
2019-03-03,3812.31
2019-03-04,3731.28
2019-03-05,3874.18
2019-03-06,3874.98
2019-03-07,3882.61
2019-03-08,3868.02
2019-03-09,3947.74
2019-03-10,3929.84
2019-03-11,3874.89
2019-03-12,3888.57
2019-03-13,3878.44
2019-03-14,3881.44
2019-03-15,3927.08
2019-03-16,4027.01
2019-03-17,3998.0
2019-03-18,3988.85
2019-03-19,4024.14
2019-03-20,4056.75
2019-03-21,3996.93
2019-03-22,4000.84
2019-03-23,4007.21
2019-03-24,3994.11
2019-03-25,3924.55
2019-03-26,3942.22
2019-03-27,4045.98
2019-03-28,4036.45
2019-03-29,4111.38
2019-03-30,4118.13
2019-03-31,4112.69
2019-04-01,4151.32
2019-04-02,4906.93
2019-04-03,4976.59
